customerID,gender,SeniorCitizen,Age,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,SatisfactionScore,Churn
CUST-00079,Male,0,43,Yes,No,10,No,No Phone Service,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card,18,173.22,5,3,No
CUST-00080,Male,1,81,Yes,No,53,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Electronic Check,69.96,3695.76,2,3,Yes
CUST-00081,Female,0,37,Yes,Yes,11,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Transfer,71.07,816.84,2,3,No
CUST-00082,Female,0,40,No,No,2,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Electronic Check,79.31,157.33,5,4,Yes
CUST-00083,Male,0,27,Yes,No,27,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,77.9,2179.73,7,2,No
CUST-00084,Male,1,78,Yes,No,10,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,68.94,672.61,0,3,No
CUST-00085,Male,1,84,No,No,7,Yes,No,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Transfer,83.55,589,2,3,Yes
CUST-00086,Male,0,58,Yes,Yes,33,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Transfer,93.02,3175.21,5,4,Yes
CUST-00087,Female,0,22,No,Yes,3,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Electronic Check,77.4,241.97,3,4,Yes
CUST-00088,Female,0,18,No,No,24,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,One Year,No,Credit Card,83.93,2011.46,0,5,No
CUST-00089,Female,1,84,No,No,67,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,78.28,5318.02,4,4,Yes
CUST-00090,Male,0,39,No,No,31,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,83.82,2469.27,2,5,No
CUST-00091,Male,1,73,Yes,No,40,Yes,No,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Bank Transfer,69.18,2698.91,1,5,Yes
CUST-00092,Female,0,62,No,No,34,No,No Phone Service,DSL,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,29.56,982.8,0,4,No
CUST-00093,Female,0,58,Yes,No,7,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Credit Card,80.99,543.88,0,3,No
CUST-00094,Female,0,46,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Two Year,No,Electronic Check,48,46.94,0,5,No
CUST-00095,Female,0,21,Yes,Yes,27,No,No Phone Service,DSL,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,25.56,677.78,2,3,No
CUST-00096,Male,0,22,No,No,36,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Electronic Check,18,678.38,0,5,No
CUST-00097,Female,0,28,Yes,No,8,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Two Year,Yes,Credit Card,85.34,694.23,3,4,Yes
CUST-00098,Male,0,38,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Electronic Check,89.12,3980.73,0,5,No
CUST-00099,Male,0,52,Yes,No,50,No,No Phone Service,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,18,943.92,2,1,Yes
CUST-00100,Male,0,29,Yes,No,5,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Mailed Check,18,86.88,2,1,No
CUST-00101,Male,0,43,No,No,6,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Transfer,84.33,504.77,4,3,No
CUST-00102,Female,1,70,Yes,Yes,18,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Transfer,78.55,1434.69,1,4,No
CUST-00103,Male,1,71,No,No,11,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,One Year,Yes,Electronic Check,98.65,1036.92,2,4,Yes
CUST-00104,Female,1,84,No,No,55,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-Month,Yes,Electronic Check,73.87,4151.01,2,4,Yes
CUST-00105,Female,1,82,No,Yes,5,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer,19.56,93.89,2,5,No
CUST-00106,Male,0,24,Yes,Yes,23,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,80.47,1784.23,4,4,Yes
CUST-00107,Male,0,43,Yes,No,64,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,18,1112.8,2,4,No
CUST-00108,Female,0,57,No,No,13,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Mailed Check,90.6,1228.31,1,5,No
CUST-00109,Male,0,22,Yes,Yes,20,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card,20.58,419.14,2,2,No
CUST-00110,Male,0,38,Yes,Yes,15,Yes,No,DSL,No,No,No,Yes,No,No,One Year,Yes,Mailed Check,58.63,893.12,1,4,No
CUST-00111,Male,0,31,No,No,11,No,No Phone Service,Fiber Optic,Yes,No,No,No,Yes,No,Two Year,Yes,Mailed Check,68.56,758.35,2,4,No
CUST-00112,Male,0,21,No,No,11,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-Month,No,Mailed Check,69.88,752.75,0,5,No
CUST-00113,Female,0,40,No,No,20,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,No,Mailed Check,72.26,1462.67,1,5,No
CUST-00114,Female,0,59,Yes,No,30,No,No Phone Service,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Transfer,59.49,1768.66,1,4,No
CUST-00115,Female,0,37,No,Yes,20,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Mailed Check,40.49,781.09,1,5,No
CUST-00116,Female,0,32,Yes,No,33,Yes,No,Fiber Optic,No,No,Yes,Yes,No,No,One Year,Yes,Electronic Check,85.14,2862.89,6,2,No
CUST-00117,Female,0,62,Yes,Yes,11,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Electronic Check,20.48,216.94,4,4,Yes
CUST-00118,Male,1,73,No,No,1,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,Month-to-Month,No,Electronic Check,87.82,85.1,0,5,No
CUST-00119,Female,0,25,Yes,No,27,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,Two Year,No,Bank Transfer,94.95,2645.1,4,2,No
CUST-00120,Female,0,58,Yes,No,34,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,21.11,729.23,1,2,No
CUST-00121,Female,1,80,Yes,Yes,9,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Two Year,Yes,Electronic Check,108.69,991.02,1,4,No
CUST-00122,Female,1,78,No,No,21,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Transfer,56.8,1183.04,0,5,No
CUST-00123,Male,1,72,No,No,53,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Transfer,89.9,4715.28,5,4,No
CUST-00124,Male,0,45,No,Yes,10,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Transfer,66.65,679.18,4,3,No
CUST-00125,Male,0,63,No,No,2,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Mailed Check,18.87,38.65,0,5,Yes
CUST-00126,Male,0,44,Yes,Yes,14,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,91.08,1276.42,0,5,No
CUST-00127,Female,0,21,Yes,No,24,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,83.69,2102.82,4,3,Yes
CUST-00128,Female,0,32,Yes,No,7,No,No Phone Service,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,18,131.74,1,5,No
CUST-00129,Male,0,52,Yes,Yes,64,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Bank Transfer,78.04,4950.82,1,4,No
CUST-00130,Female,0,54,No,Yes,7,Yes,No,DSL,No,Yes,No,No,No,No,One Year,Yes,Electronic Check,61.58,444.88,1,5,No
CUST-00131,Male,0,18,No,No,27,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card,33.47,907.6,3,4,No
CUST-00132,Male,0,20,Yes,No,61,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-Month,No,Electronic Check,58.82,3592.24,1,4,No
CUST-00133,Male,0,64,Yes,No,2,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Electronic Check,19.6,37.46,2,5,No
CUST-00134,Male,0,41,Yes,No,71,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One Year,No,Mailed Check,75.62,5408.74,1,5,No
CUST-00135,Female,0,44,Yes,No,68,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,31.23,2208.71,0,4,Yes
CUST-00136,Male,0,57,No,No,24,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,18,444.1,2,2,No
CUST-00137,Female,1,72,Yes,No,19,No,No Phone Service,Fiber Optic,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Transfer,70.72,1382.15,2,4,Yes
CUST-00138,Female,0,51,Yes,Yes,11,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,81.63,867.39,0,5,No
CUST-00139,Male,0,46,No,No,7,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Transfer,74.62,514.95,2,5,No
CUST-00140,Female,0,41,Yes,No,62,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-Month,No,Mailed Check,89.96,5428.71,2,4,No
CUST-00141,Female,0,41,No,Yes,30,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,One Year,Yes,Electronic Check,86.33,2542.22,3,2,Yes
CUST-00142,Male,0,59,Yes,Yes,4,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,One Year,Yes,Bank Transfer,80.98,326.5,3,2,No
CUST-00143,Male,0,21,No,No,44,No,No Phone Service,Fiber Optic,No,No,No,No,No,Yes,Two Year,Yes,Bank Transfer,61.34,2662.47,2,3,No
CUST-00144,Male,0,20,No,No,15,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,18,271.64,1,5,Yes
CUST-00145,Male,0,51,No,No,30,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Transfer,66.31,1977.07,3,5,Yes
CUST-00146,Male,1,68,Yes,No,8,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Two Year,No,Electronic Check,79.82,624.93,1,4,Yes
CUST-00147,Female,0,40,No,No,42,No,No Phone Service,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Electronic Check,83.74,3374.78,2,4,Yes
CUST-00148,Female,0,62,Yes,No,47,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Electronic Check,81.28,3969.85,1,5,Yes
CUST-00149,Male,1,83,Yes,Yes,19,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,One Year,Yes,Mailed Check,90.09,1628.07,3,1,Yes
CUST-00150,Male,1,73,Yes,Yes,10,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Two Year,No,Credit Card,82.31,782.08,2,4,No
CUST-00151,Female,0,58,Yes,No,30,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,19.96,618.37,0,5,No
CUST-00152,Male,0,23,No,No,5,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,24.52,128.69,2,3,No
CUST-00153,Male,0,54,No,No,45,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Transfer,98.76,4545.13,4,4,Yes
CUST-00154,Male,0,27,No,No,55,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Transfer,76.36,3996.22,3,3,No
